vendor_id,vendor_name,invoice_number,invoice_amount,invoice_date,bank_account,currency,po_number,cost_center
VEN001,Acme Corporation,INV-2024-001,1500.00,2024-01-15,US1234567890,USD,PO-2024-001,CC-100
VEN002,Global Tech Solutions,INV-2024-002,2750.50,2024-01-16,US0987654321,USD,PO-2024-002,CC-200
VEN003,Premier Supplies Inc,INV-2024-003,890.25,2024-01-17,GB9876543210,GBP,PO-2024-003,CC-150
VEN001,Acme Corporation,INV-2024-004,3200.00,2024-01-18,US1234567890,USD,PO-2024-004,CC-100
VEN004,International Services,INV-2024-005,1250.75,2024-01-19,DE1234567890123456,EUR,PO-2024-005,CC-300
VEN002,Global Tech Solutions,INV-2024-006,4150.00,2024-01-20,US0987654321,USD,PO-2024-006,CC-200
VEN005,Professional Consulting,INV-2024-007,2500.00,2024-01-21,CA123456789,CAD,PO-2024-007,CC-250
VEN003,Premier Supplies Inc,INV-2024-008,675.50,2024-01-22,GB9876543210,GBP,,CC-150
VEN006,Digital Marketing Plus,INV-2024-009,1800.00,2024-01-23,AU123456789,AUD,PO-2024-009,CC-350
VEN004,International Services,INV-2024-010,3500.25,2024-01-24,DE1234567890123456,EUR,PO-2024-010,CC-300
